SINTA_ID;NAMA
6035420;MENALDI RASMIN
259819;ACHMAD NIZAR HIDAYANTO
5987081;YOKI YULIZAR
6010622;MOHAMMED ALI BERAWI
6027567;ENY KUSRINI
258995;DIPO ALDILA
6004072;HERDIS HERDIANSYAH
5982895;MUHAMAD SAHLAN
5986130;YUDAN WHULANZA
6758983;MUHAMMAD ARIF BUDIYANTO
5986328;DANA INDRA SENSUSE
5987693;ALHADI BUSTAMAM
6059011;ZUHERMAN RUSTAM
6027493;SUGENG SUPRIADI
6018026;PUTU WURI HANDAYANI
5977168;RIRI FITRI SARI
258992;HARRY BUDI SANTOSO
6033967;NASRUDDIN
6033221;AMALIA SUZIANTI
42612;INDRA BUDI
258251;MUNAWAR KHALIL
6032942;KUSMARDI
5982444;IRWANSYAH
6035469;CATUR APRIONO
6649961;SUPRIATNA
5989579;FATMA LESTARI
5999578;IVANDINI T ANGGRANINGRUM
6030565;MISRI
6031633;EVY YUNIHASTUTI
5998838;NANDY SETIADI DJAYA PUTRA
