"Provinsi","Tidak Ada Bencana Alam","Kekeringan","Kebakaran Hutan","Gunung Meletus","Angin Puyuh / Angin Puting Beliung / Topan","Gelombang Pasang Laut","Tsunami","Gempa Bumi","Banjir Bandang","Banjir","Tanah Longsor"
NA,"Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)","Banyaknya Desa/Kelurahan Menurut Jenis Bencana Alam dalam Tiga Tahun Terakhir (Desa)"
NA,"2021.0","2021.0","2021.0","2021.0","2021.0","2021.0","2021.0","2021.0","2021.0","2021.0","2021.0"
"ACEH","4406.0","173.0","43.0","1.0","108.0","106.0","2.0","493.0","81.0","1435.0","198.0"
"SUMATERA UTARA","3827.0","127.0","59.0","82.0","483.0","78.0","4.0","964.0","52.0","732.0","483.0"
"SUMATERA BARAT","513.0","43.0","18.0","0.0","248.0","57.0","0.0","364.0","65.0","342.0","222.0"
"RIAU","1224.0","51.0","194.0","0.0","53.0","15.0","0.0","0.0","1.0","455.0","21.0"
"JAMBI","1001.0","16.0","16.0","0.0","44.0","2.0","0.0","36.0","17.0","476.0","57.0"
"SUMATERA SELATAN","2644.0","98.0","64.0","0.0","90.0","3.0","0.0","49.0","36.0","380.0","103.0"
"BENGKULU","1195.0","19.0","4.0","0.0","17.0","14.0","0.0","66.0","15.0","171.0","81.0"
"LAMPUNG","2093.0","30.0","11.0","0.0","158.0","35.0","0.0","47.0","23.0","328.0","70.0"
"KEP. BANGKA BELITUNG","265.0","0.0","14.0","0.0","77.0","17.0","0.0","0.0","0.0","59.0","1.0"
"KEP. RIAU","241.0","27.0","57.0","0.0","40.0","69.0","0.0","0.0","1.0","61.0","25.0"
"DKI JAKARTA","152.0","0.0","1.0","0.0","0.0","5.0","0.0","1.0","0.0","109.0","7.0"
"JAWA BARAT","3081.0","442.0","76.0","0.0","412.0","91.0","0.0","601.0","100.0","1193.0","1288.0"
"JAWA TENGAH","5637.0","278.0","49.0","26.0","619.0","128.0","0.0","114.0","69.0","1249.0","1190.0"
"DI YOGYAKARTA","233.0","31.0","4.0","3.0","84.0","12.0","0.0","52.0","1.0","50.0","59.0"
"JAWA TIMUR","4655.0","156.0","50.0","74.0","486.0","87.0","4.0","2449.0","96.0","1176.0","511.0"
"BANTEN","914.0","77.0","8.0","0.0","107.0","39.0","1.0","158.0","41.0","419.0","96.0"
"BALI","482.0","2.0","8.0","0.0","46.0","34.0","0.0","79.0","5.0","39.0","105.0"
"NUSA TENGGARA BARAT","748.0","88.0","19.0","0.0","65.0","44.0","0.0","100.0","54.0","187.0","44.0"
"NUSA TENGGARA TIMUR","1487.0","454.0","144.0","54.0","1219.0","218.0","0.0","246.0","151.0","570.0","610.0"
"KALIMANTAN BARAT","1158.0","75.0","135.0","0.0","53.0","48.0","0.0","0.0","22.0","864.0","66.0"
"KALIMANTAN TENGAH","789.0","37.0","66.0","0.0","16.0","12.0","0.0","0.0","9.0","735.0","24.0"
"KALIMANTAN SELATAN","973.0","35.0","60.0","0.0","70.0","30.0","0.0","0.0","31.0","929.0","74.0"
"KALIMANTAN TIMUR","628.0","32.0","52.0","0.0","26.0","9.0","0.0","6.0","5.0","343.0","74.0"
"KALIMANTAN UTARA","248.0","6.0","13.0","0.0","3.0","3.0","0.0","18.0","0.0","200.0","42.0"
"SULAWESI UTARA","1075.0","24.0","25.0","0.0","107.0","95.0","0.0","349.0","37.0","288.0","218.0"
"SULAWESI TENGAH","984.0","42.0","29.0","0.0","85.0","117.0","0.0","556.0","57.0","567.0","133.0"
"SULAWESI SELATAN","1863.0","60.0","22.0","0.0","293.0","39.0","0.0","272.0","52.0","620.0","251.0"
"SULAWESI TENGGARA","1852.0","16.0","12.0","0.0","104.0","58.0","0.0","43.0","10.0","240.0","46.0"
"GORONTALO","352.0","57.0","9.0","0.0","34.0","37.0","0.0","95.0","24.0","259.0","65.0"
"SULAWESI BARAT","105.0","22.0","8.0","0.0","26.0","35.0","0.0","498.0","7.0","125.0","144.0"
"MALUKU","798.0","26.0","26.0","0.0","54.0","165.0","0.0","106.0","2.0","153.0","58.0"
"MALUKU UTARA","423.0","12.0","16.0","1.0","42.0","124.0","0.0","589.0","20.0","270.0","80.0"
"PAPUA BARAT","1482.0","5.0","12.0","0.0","6.0","30.0","0.0","318.0","0.0","138.0","72.0"
"PAPUA","5142.0","9.0","14.0","0.0","11.0","57.0","0.0","57.0","9.0","204.0","146.0"
"INDONESIA","52670.0","2570.0","1338.0","241.0","5286.0","1913.0","11.0","8726.0","1093.0","15366.0","6664.0"
